index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,ReplaceAnonymousWithLambda,isReplaceAnonymousWithLambda
0,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/NamespaceDaoTest.java,0,0,0,0,0.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
1,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/AllowedAttributeValueDaoTest.java,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
2,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/BusinessObjectDataStatusDaoTest.java,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
3,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/SearchIndexDaoTest.java,0,0,0,0,0.0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False
4,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/PartitionKeyGroupDaoTest.java,0,0,0,0,0.0,0,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,False
5,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/impl/BaseJpaDaoImplTest.java,0,0,0,0,0.0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
6,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/impl/S3DaoImplTest.java,0,0,0,0,0.0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,5,0,0,False
7,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/impl/EmrDaoImplTest.java,0,0,0,0,0.0,0,27,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,False
8,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/StorageFileDaoTest.java,0,0,0,0,0.0,0,6,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,False
9,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/IndexSearchDaoTest.java,0,0,0,0,0.0,0,16,0,0,0,0,0,13,13,0,0,0,0,0,0,0,13,1,0,13,0,0,False
10,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/StorageUnitNotificationRegistrationDaoTest.java,0,0,0,0,0.0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,False
11,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/BusinessObjectDefinitionIndexSearchDaoTest.java,0,0,0,0,0.0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False
12,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/TagDaoTest.java,0,0,0,0,0.0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,False
13,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/SchemaColumnDaoTest.java,0,0,0,0,0.0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
14,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/BusinessObjectDefinitionColumnDaoTest.java,0,0,0,0,0.0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
15,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/Ec2DaoTest.java,0,0,0,0,0.0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,False
16,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/BusinessObjectDefinitionDaoTest.java,0,0,0,0,0.0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,False
17,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/NotificationMessageDaoTest.java,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
18,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/EmrDaoTest.java,0,0,0,0,0.0,0,29,7,0,0,0,0,27,27,0,0,0,1,0,0,0,2,0,0,27,0,0,False
19,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/Log4jOverridableConfigurerTest.java,0,0,0,0,0.0,0,18,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,8,0,0,False
20,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/EmrClusterDefinitionDaoTest.java,0,0,0,0,0.0,0,5,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,False
21,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/SnsDaoTest.java,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
22,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/JestClientFactoryTest.java,0,0,0,0,0.0,0,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
23,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/TagTypeDaoTest.java,0,0,0,0,0.0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
24,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/UserNamespaceAuthorizationDaoTest.java,0,0,0,0,0.0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
25,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/StsDaoTest.java,0,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
26,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/BusinessObjectFormatDaoTest.java,0,0,0,0,0.0,0,7,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,False
27,finraos/herd,755430cb829d9410977f681c992be112da466c74,herd-code/herd-dao/src/test/java/org/finra/herd/dao/S3DaoTest.java,0,0,0,0,0.0,0,100,43,9,0,0,0,62,86,7,0,0,1,0,0,0,11,1,14,96,0,0,False
