index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,ReplaceTryCatchWithAssertThrows,isReplaceTryCatchWithAssertThrows
0,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/DataColumnsTest.java,28,2,3,4,0.07,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
1,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/covariance/LowerCovarianceDataFileReaderTest.java,39,2,4,8,0.1,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
2,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/metadata/MetadataFileReaderTest.java,25,2,3,5,0.08,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
3,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/metadata/MetadataFileWriterTest.java,24,2,3,4,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
4,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/preview/BasicDataPreviewerTest.java,23,2,3,7,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False
5,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/ContinuousTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,2,5,0,0,False
6,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/MixedTabularDatasetFileReaderTest.java,222,8,20,73,0.14,30,7,7,7,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,7,0,0,False
7,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/TabularColumnFileReaderTest.java,80,5,12,13,0.08,6,4,3,3,1,0,1,4,0,0,0,0,0,0,0,3,1,0,0,4,0,0,False
8,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/TabularDataFileReaderTest.java,540,15,45,150,0.13,69,14,13,12,1,0,0,14,0,0,0,0,0,0,0,13,0,0,4,14,0,0,False
9,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/VerticalDiscreteTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,2,5,0,0,False
