index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Replace Conditional By Parameterized Test,Merge Method,Merge Class,Split Class,Invert Condition,Extract Interface,Replace Pipeline With Loop,Extract Subclass,Push Down Attribute,Split Conditional,Inline Attribute,Replace Attribute,Replace Try Catch With Rule,Merge Attribute,Replace Loop With Pipeline,Push Down Method,Encapsulate Attribute,Extract Superclass,Merge Variable,Split Attribute,Split Variable,Replace NOT operator,Replace Try Catch With Assert Throws,Replace Attribute With Variable,Extract Attribute,Pull Up Method,Extract Class,Pull Up Attribute,Replace @test(expected) with assertThrows,Extract And Move Method,Move Class,Move Attribute,Replace Rule With AssertThrows,Add Assert Argument,Inline Method,Move And Inline Method,Split Conditional Statement in Assertions,Replace Anonymous With Lambda,Modify Class Annotation,Replace Variable With Attribute,Inline Variable,Replace Reserved Words,Remove Class Annotation,Add Class Annotation,Move Method,Extract Method,Extract Variable,Remove Method Annotation,Modify Method Annotation,Add Method Annotation
0,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/DataColumnsTest.java,28,2,3,4,0.07,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/covariance/LowerCovarianceDataFileReaderTest.java,39,2,4,8,0.1,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/metadata/MetadataFileReaderTest.java,25,2,3,5,0.08,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/metadata/MetadataFileWriterTest.java,24,2,3,4,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/preview/BasicDataPreviewerTest.java,23,2,3,7,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/ContinuousTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/MixedTabularDatasetFileReaderTest.java,222,8,20,73,0.14,30,7,7,7,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/TabularColumnFileReaderTest.java,80,5,12,13,0.08,6,4,3,3,1,0,1,4,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/TabularDataFileReaderTest.java,540,15,45,150,0.13,69,14,13,12,1,0,0,14,0,0,0,0,0,0,0,13,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/VerticalDiscreteTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
