,App,SHA,TestFilePath,RemoveClassAnnotation,isRemoveClassAnnotation,prediction
1,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoCursorTest.java,0.0,False,True
5,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoGraphTest.java,0.0,False,True
7,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
21,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/ArangoViewTest.java,0.0,False,True
24,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
25,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/util/UnicodeUtilsTest.java,0.0,False,True
41,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoDatabaseTest.java,0.0,False,True
64,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/util/UnicodeUtilsTest.java,0.0,False,True
67,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoDatabaseTest.java,1.0,True,True
76,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
108,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,integration-tests/src/test/jackson/java/arch/AdbTest.java,0.0,False,True
112,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/unicode/UnicodeUtilsTest.java,0.0,False,True
117,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/mapping/annotations/ArangoAnnotationsTest.java,0.0,False,True
121,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoCursorTest.java,0.0,False,True
134,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/InsertDocumentExampleTest.java,0.0,False,True
135,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/AqlQueryWithSpecialReturnTypesExampleTest.java,0.0,False,True
145,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
147,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoViewTest.java,0.0,False,True
149,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/util/MapBuilderTest.java,0.0,False,True
162,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,resilience-tests/src/test/java/resilience/timeout/TimeoutTest.java,0.0,False,True
