,App,SHA,TestFilePath,ReplaceAnonymousWithLambda,isReplaceAnonymousWithLambda,prediction
2,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/compilers/CoffeeCompilerTest.java,0.0,False,True
6,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/convert/TypeConvertTest.java,0.0,False,False
14,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/filters/roles/RoleFilterTest.java,0.0,False,True
23,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/markdown/FormulaPluginTest.java,0.0,False,True
41,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/routes/RouteCollectionTest.java,0.0,False,True
52,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/templating/yaml/YamlFrontMatterTest.java,0.0,False,False
60,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/convert/TypeConvertTest.java,0.0,False,False
72,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/internal/SimpleCookiesTest.java,0.0,False,False
78,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/markdown/MarkdownCompilerTest.java,0.0,False,True
101,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/templating/SiteTest.java,0.0,False,False
109,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/payload/CookiesTest.java,0.0,False,True
111,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/compilers/CoffeeSourceMapCompilerTest.java,0.0,False,True
128,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/io/ClasspathScannerTest.java,0.0,False,True
129,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/io/ResourcesTest.java,0.0,False,False
130,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/io/StringsTest.java,0.0,False,False
131,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/markdown/FormulaPluginTest.java,0.0,False,True
136,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/misc/EnvTest.java,0.0,False,False
141,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/misc/WebJarUrlFinderTest.java,0.0,False,False
143,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/payload/PayloadWriterTest.java,0.0,False,True
148,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/routes/ReflectionRouteTest.java,0.0,False,True
149,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/routes/RouteCollectionTest.java,0.0,False,True
150,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/routes/RoutesWithPatternTest.java,0.0,False,True
197,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/payload/PayloadWriterTest.java,0.0,False,True
225,codestory/fluent-http,517f42f3eefe6a2e9dac2a7c2bb08861eb68b4de,net/codestory/http/errors/HttpExceptionTest.java,0.0,False,True
229,codestory/fluent-http,517f42f3eefe6a2e9dac2a7c2bb08861eb68b4de,net/codestory/http/filters/FilterTest.java,0.0,False,True
