,App,SHA,TestFilePath,MoveMethod,isMoveMethod,prediction
7,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
16,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/ArangoDBTest.java,0.0,False,True
37,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
54,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoDatabaseTest.java,0.0,False,True
67,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoDatabaseTest.java,0.0,False,True
94,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,resilience-tests/src/test/java/resilience/vstKeepAlive/VstKeepAliveCloseTest.java,0.0,False,True
99,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,resilience-tests/src/test/java/resilience/timeout/TimeoutTest.java,0.0,False,True
102,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,integration-tests/src/test/internal/java/arch/AdbTest.java,0.0,False,True
110,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/perf/SimpleSyncPerfTest.java,0.0,False,True
119,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/UserAgentTest.java,0.0,False,True
132,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/TestEntity.java,0.0,False,True
133,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/GetDocumentExampleTest.java,0.0,False,True
143,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoSslTest.java,0.0,False,True
146,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ParallelTest.java,0.0,False,True
147,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoViewTest.java,0.0,False,True
164,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/internal/java/arch/RelocationsTest.java,0.0,False,True
